voiceID,speaker,gender,Emotion,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,LPC,LTAS mean,LTAS stdev,LTAS max,LTAS min,LTAS range,LTAS slope,Formant 1 mean,Formant 1 stdev,Formant 2 mean,Formant 2 stdev,Formant 3 mean,Formant 3 stdev,Pitch mean,Pitch stdev,Pitch max,Pitch min,Pitch range,Intensity mean,Intensity stdev,Intensity max,Intensity min,Intensity range,HNR,Duration,ZCR,Jitter PCA,shimmer PCA,Ed5,Ed4,Ed3,Ed2,Ed1,Ea,wentropy
N-01-01-01 (19).wav,1,male,angry,-500.31445,119.94184,-16.94196,7.5906506,12.213128,12.843648,1.160432,-15.409724,6.721194,-7.0946317,-20.948137,3.5812185,5.667692,0.011868537,-22.02781622,24.13252656,42.23479268,-103.5779616,145.8127543,-2.983921565,714.175512,401.899077,1801.414501,525.3158134,2798.617805,468.2333707,212.7505247,29.34508338,276.4462754,151.2747573,125.1715181,51.02656933,13.1088765,73.78381635,18.56325386,55.22056248,11.57553498,4.446598639,0.056077125,-1.459577108,-0.414424183,23.35421108,27.75451063,4.914883586,0.238298918,0.006889434,43.73120636,580.4595511
N-01-01-01 (2).wav,1,male,angry,-480.4553,116.57756,-23.369583,-21.728464,4.7720284,15.875249,-20.208054,-42.888443,-5.453389,-2.4269896,-12.73024,-0.83275,-4.3246064,0.014482339,-25.41425749,23.38712801,45.75623983,-98.13882842,143.8950682,-2.527345147,594.9823573,183.5566117,1681.166406,423.2875459,2523.641369,353.4090905,199.7472623,28.70799931,225.6639637,88.96985551,136.6941082,51.42085642,18.62050137,74.90116258,10.760528,64.14063458,12.92629895,1.760839002,0.118533486,-2.522090173,-2.155016454,19.91231552,42.97680482,4.655768719,0.091506924,0.004197232,32.35940678,459.1466186
N-01-01-01 (20).wav,1,male,angry,-471.8813,105.6013,-63.683422,-12.928764,-14.691408,2.7699947,0.05139977,-24.617653,6.9239616,-10.175464,-17.84421,11.616662,-0.09827342,0.015635252,-18.41376551,26.74569114,46.95632188,-87.21646106,134.1727829,4.365853521,859.5060728,380.4783487,1876.82467,542.1047477,2854.486629,471.2591465,226.2513933,47.58612001,310.0307995,107.9792909,202.0515086,52.33062446,20.76168319,74.44005111,9.577210385,64.86284072,9.252188032,1.219047619,0.170396337,-1.394403919,0.789416591,40.98321093,46.18802865,3.709584889,0.444049214,0.018808002,8.656318308,502.248249
N-01-01-01 (21).wav,1,male,angry,-450.9859,120.223145,-32.777264,5.5801744,4.1590886,9.458565,-3.3602355,-21.620216,5.156936,-14.296165,-25.73494,-1.8880973,-5.2307034,0.01551507,-19.38151918,27.62417157,45.95689864,-96.38316455,142.3400632,-2.244912769,728.453242,489.9488824,1810.616162,599.2965519,2799.566304,464.1963907,185.0032652,39.80613114,272.8159298,105.1336311,167.6822987,55.09355376,15.576111,75.63881025,10.88482389,64.75398637,10.0370945,6.269387755,0.092539676,-0.859158822,-0.618941545,26.17650269,35.63865822,5.286511749,0.895913311,0.046109403,31.95630463,1845.179927
N-01-01-01 (22).wav,1,male,angry,-467.9572,94.98231,-74.9163,12.810896,2.5775404,11.760082,-0.18782708,-24.303192,5.4944715,-19.1764,-8.3905115,12.276442,-7.523929,0.022051752,-19.35125384,27.56533648,44.02104344,-98.46646329,142.4875067,5.361365365,957.9815857,469.0082827,2072.895152,564.4221531,2971.929989,557.9977219,191.1311754,14.32673495,207.6393413,147.3221656,60.31717573,52.28489971,18.91018206,74.40372075,10.52187119,63.88184956,9.555336578,1.613786848,0.195490374,-2.739849558,-2.312953133,23.38722961,57.92067872,8.86027685,0.674301246,0.034162356,9.123351217,521.0369921
N-01-01-01 (23).wav,1,male,angry,-427.5508,141.35312,-14.480876,0.11198475,-0.55146754,8.503976,-3.4874685,-17.124807,-2.7505658,-26.281488,-26.744326,-5.1534705,-9.501288,0.004702866,-22.02635147,25.59222642,48.16172618,-102.6787204,150.8404466,-10.42366016,572.8024124,363.3205779,1607.149237,390.9059078,2724.908111,323.0182165,149.2823265,40.20803226,304.8436261,79.29519453,225.5484316,57.74091243,14.54428697,77.26213077,9.893354577,67.3687762,10.57092484,5.990770975,0.063545507,-0.142133487,-0.944024779,24.43486104,9.198714605,0.928846716,0.099733817,0.005375925,65.3324679,2523.523681
N-01-01-01 (25).wav,1,male,angry,-416.557,139.36095,-28.204529,2.3613281,1.6460416,12.146849,-6.7574563,-40.017296,-7.2161207,-14.641725,-27.185682,-4.823894,-8.683813,0.010739327,-18.71212127,24.26518886,50.79624468,-95.68996269,146.4862074,-6.328619777,566.0212991,284.2922353,1758.089261,346.5607808,2639.56649,385.1082941,167.5387663,34.71879532,263.8529264,98.09616523,165.7567612,58.88273248,15.42833753,75.13069756,11.26406277,63.86663478,9.204283308,2.409070295,0.084090013,-0.155750042,-0.039271521,12.41469868,29.94950964,3.956129501,0.120746715,0.003774021,53.55514144,1125.997476
N-01-01-01 (26).wav,1,male,angry,-494.57767,170.59792,-8.4016485,3.5029936,38.571564,9.681163,-20.98864,-16.966986,6.924118,-13.563645,-13.45153,5.001385,-3.3399951,0.004524211,-26.6905258,21.41124469,37.45511342,-91.46755352,128.9226669,-10.57813755,559.4921548,332.2484616,1699.682572,404.8469499,2671.423562,241.1290569,103.1294069,12.17046668,125.3126726,76.02362748,49.28904511,52.86236747,7.968199169,70.7556847,27.24818048,43.50750423,9.833372244,1.915646259,0.039394884,-0.201768392,-0.285271777,30.916608,4.570462842,1.668798789,0.058414282,0.002061945,62.78365414,157.9361162
N-01-01-01 (27).wav,1,male,angry,-434.3496,118.55906,-26.065666,-4.245068,-10.607286,-1.7621377,-14.359,-24.512331,2.1934345,-22.283628,-22.73891,6.9122186,0.7467703,0.008705814,-19.30676728,27.50967644,46.90511815,-94.48261971,141.3877379,-7.012960237,731.1163505,375.1162852,1722.997872,548.4259995,2902.153966,430.76321,181.540667,28.43473395,261.3131586,113.2283526,148.0848061,53.44703547,20.52732558,76.92674268,9.655572991,67.27116969,8.863151298,3.285623583,0.14489918,0.041672698,-0.543367697,30.00833557,11.31465234,2.458702795,0.840245197,0.048642025,55.32942207,1297.722939
N-01-01-01 (28).wav,1,male,angry,-504.89368,119.24659,-10.859876,5.9456477,14.581511,14.667261,-6.502291,-17.53933,-0.9319511,-15.123604,-14.345935,1.246575,-1.9177071,0.005064408,-23.26084851,23.21699058,48.38354416,-98.71988232,147.1034265,-9.025939653,681.2896005,444.1032282,1910.999254,454.5287812,2830.017874,468.7405597,153.4398113,22.82499508,179.8227169,75.58705055,104.2356664,47.85419628,21.07915944,73.77641831,9.077999247,64.69841906,15.41315771,2.287165533,0.135428997,-2.131956495,-3.874734029,26.38217132,11.38287981,0.825980805,0.033620892,0.001875558,61.37347161,580.7796553
N-01-01-01 (29).wav,1,male,angry,-474.32837,127.13606,-20.156487,-9.352465,-13.96257,-4.768247,-20.235922,-27.311958,-2.7746181,-22.128992,-15.434052,8.367164,2.0671732,0.008181672,-22.0156964,24.9285262,44.27900752,-100.4730872,144.7520947,-6.198225648,642.0237383,193.048156,1552.903859,353.7108932,2758.99009,284.7960139,188.9920921,42.73727772,277.3769738,80.36626232,197.0107115,51.97501824,17.24062209,73.84867381,10.3693805,63.47929331,11.3035659,3.64553288,0.085176401,-0.700252057,-1.342653082,46.80775723,17.73478577,1.829310249,0.160526192,0.012697029,33.45492354,786.3247197
N-01-01-01 (3).wav,1,male,angry,-378.15753,132.86304,-83.64311,-11.173037,0.42840278,0.16807461,-15.523909,-40.763794,-10.777016,-17.670103,-21.484947,-5.910578,-5.924945,0.015449762,-18.60523579,28.31279198,49.62919381,-97.56011711,147.1893109,-0.093479731,956.8916237,555.1700857,1882.719739,482.3367746,2768.203713,423.6496639,194.9814674,47.07674744,315.6126149,133.4073967,182.2052182,62.60051482,10.51832673,77.09810341,28.78939554,48.30870786,9.185236992,1.652018141,0.088850115,-0.92697494,-1.017071716,27.15205564,38.07831151,5.962576009,0.530883612,0.015079826,28.26109341,976.5448416
N-01-01-01 (30).wav,1,male,angry,-535.3643,128.27402,18.19361,18.90992,21.55572,21.276081,8.972171,5.7001333,15.653853,-0.34005117,-2.728855,0.23599274,-1.88458,0.001459122,-22.9223295,22.35944561,49.65691223,-106.2074456,155.8643579,-11.08480628,708.2306059,469.5103023,1770.14591,431.7930944,2782.357497,417.8947811,126.2007812,41.06137045,254.8326291,66.88005571,187.9525734,49.46830579,15.23356593,74.07335073,19.13786624,54.93548449,1.404403035,4.552040816,0.0395806,9.273348246,4.643712975,2.023953083,2.075430499,0.437836222,0.093821738,0.012472924,95.35648553,790.027794
N-01-01-01 (4).wav,1,male,angry,-443.61566,159.38658,-21.68963,-9.462119,6.1904907,-5.2208624,-18.275469,-24.254469,4.7435265,0.81710684,-19.537792,-0.5444504,1.4400822,0.008526961,-23.45049524,25.25687105,42.39635837,-113.7490465,156.1454049,-7.007196337,677.0594779,258.618579,1719.382427,473.5662947,2678.776094,329.5277829,165.3041889,51.5609245,305.8540413,79.69460347,226.1594378,57.37816209,12.10052943,74.27648883,23.78520889,50.49127994,9.824299119,1.593968254,0.047476506,-0.333132314,0.948633219,55.33639275,15.71644637,2.376514008,0.155903916,0.002521295,26.41222167,479.6091364
N-01-01-01 (5).wav,1,male,angry,-398.4028,151.24426,-51.692352,-24.758894,-11.006376,-12.905115,-17.731075,-30.95099,-7.9380774,-12.585876,-26.242281,-5.2101808,2.4030702,0.010039151,-19.59002839,27.22696808,47.0963604,-94.17156517,141.2679256,-5.899842115,836.6202496,353.719968,1660.297252,433.2936356,2677.891912,336.0199798,213.5301905,53.40432151,316.9203327,75.58592513,241.3344075,59.13584906,13.38356197,77.02959072,17.28431612,59.7452746,7.704338885,3.866575964,0.067914951,-0.134361443,1.158992172,41.44648278,21.18007581,3.065539671,0.304605474,0.006387595,33.99690867,1753.840666
N-01-01-01 (6).wav,1,male,angry,-501.05066,109.16934,-22.864565,-3.0384407,7.970955,1.6558485,-6.0109806,-21.233734,-16.303078,-11.906739,-8.402879,-0.5992162,0.3217628,0.014843245,-22.69765749,25.16543545,41.27611169,-94.34344539,135.6195571,-1.617783375,793.667408,418.6957266,1902.206655,403.5413294,2886.705142,459.781897,171.6501398,55.23231649,295.049521,78.73823423,216.3112867,45.18368406,19.27765967,74.25306334,12.54296344,61.71009989,6.842478079,3.062517007,0.141115131,2.538551844,3.526881302,22.63420042,44.25304808,5.11030803,0.173066504,0.005331303,27.82404567,549.0922007
N-01-01-01 (7).wav,1,male,angry,-414.9902,135.94682,-49.652447,-29.266968,-9.980574,-7.4757676,-18.133978,-33.27132,-7.6450033,-8.683325,-19.601572,-1.8848431,-1.47097,0.010413587,-20.84077631,25.68123181,44.93066185,-95.36979436,140.3004562,-4.683774016,728.9924253,278.0082208,1725.2943,360.2525402,2645.360389,339.4676406,209.5914837,54.47925421,317.0939784,85.17522918,231.9187493,57.25306371,13.09262844,77.48342463,13.37886779,64.10455684,8.227637881,4.545124717,0.065579161,-0.29896776,1.366527323,44.58965869,25.16650516,3.137859092,0.09238344,0.002649161,27.01094445,1480.812132
N-01-01-01 (8).wav,1,male,angry,-520.11066,126.643654,3.0671225,2.0146265,10.789857,-5.631657,-13.209384,-5.135838,4.877409,-4.1429687,-7.2091703,4.0595713,0.9644021,0.004634023,-26.68452247,22.39696586,41.7824618,-108.9970542,150.779516,-11.87147944,737.2033735,404.6301679,1702.173225,570.7761813,2858.253906,402.9773537,158.7092413,44.1649898,299.3533399,76.90513285,222.448207,47.22780359,17.87877014,72.75759328,13.05109828,59.70649499,12.27662975,5.967165533,0.0872456,-0.875101453,-1.67157985,26.92025348,8.105355932,1.410086017,0.04517107,0.001372396,63.51776111,735.45869
N-01-01-01 (9).wav,1,male,angry,-468.88965,120.34134,-14.412555,-3.4848864,9.20801,0.9572965,-6.662677,-8.191566,3.4265926,-3.600275,-5.380478,7.5133934,1.7444187,0.005399664,-19.96480649,25.15078129,48.28690122,-96.36948808,144.6563893,-11.03833257,842.5455494,454.6807276,1760.74084,505.7488405,2833.586163,363.2699634,143.1629932,21.44171811,181.2157273,70.3026607,110.9130666,49.4688368,18.66581992,76.2536371,12.76688758,63.48674952,11.06150303,2.809614512,0.101389693,-0.698405325,-1.577999727,36.59476846,5.180039052,1.81992054,0.28602716,0.005469601,56.11377519,663.4544496
N-01-01-02 (1).wav,1,male,happy,-505.2474,109.19509,-8.375522,-5.005497,-5.2868814,12.974274,-5.9271746,-34.40353,-15.211668,-13.65083,-5.9059615,5.624196,3.7303152,0.006664256,-23.63865073,23.32367502,43.44136291,-93.00965253,136.4510154,-10.40987925,667.0312254,315.9386493,1657.95583,426.4482964,2531.565507,434.4373469,203.5284107,30.2398878,257.4545586,94.32832225,163.1262364,50.05213313,16.90182648,73.11410974,12.25116641,60.86294333,15.29263749,3.622312925,0.096870008,-2.037214358,-2.703581135,43.11215434,13.2525827,1.202945089,0.147907976,0.012369783,42.27204012,628.1406986
N-01-01-02 (10).wav,1,male,happy,-476.33737,117.58175,-2.463295,18.015717,7.437841,8.270694,0.58591557,-9.109651,-2.634661,-16.432894,-4.4986095,3.5015004,-6.5065184,0.004224738,-21.11083582,24.22868824,43.71099743,-87.5953031,131.3063005,-13.44906476,650.8236542,339.0097275,1735.726532,310.6978136,2934.47695,350.7533536,109.2852982,30.11840934,165.9281387,68.79411568,97.13402307,47.18401135,15.60680082,75.91847274,23.33569718,52.58277556,4.753966228,2.34521542,0.07923145,4.948157444,0.470218488,10.41978043,5.7717586,1.864751845,0.131971906,0.010788078,81.80094915,402.6243711
N-01-01-02 (11).wav,1,male,happy,-562.5352,146.45537,42.76626,3.2816565,-11.414772,-13.882849,-14.342707,-19.889742,-7.773014,-17.693993,-26.106054,-10.501992,4.885153,0.003995101,-30.27771739,19.48592251,43.86384754,-102.3721192,146.2359667,-17.69056516,558.4650879,236.870464,1439.750648,448.1073607,2443.942735,699.6390364,109.4686146,16.66564121,158.9068807,75.36169493,83.54518576,50.44189476,11.98209065,69.45490537,17.81247921,51.64242615,10.35593138,1.573151927,0.061498305,1.188532607,1.806768504,39.93254238,3.614655516,0.408337014,0.019713491,0.001860102,56.02289149,172.8773407
N-01-01-02 (12).wav,1,male,happy,-543.89386,112.51863,1.9031004,12.16043,33.6687,19.519115,-6.1402493,-16.21579,-9.13319,-17.270905,-20.187117,-8.526945,-8.405792,0.0039832,-26.37086453,21.89918496,41.24390604,-91.10540006,132.3493061,-11.12399042,728.4653975,569.0219247,1763.106624,550.4365672,2731.88307,433.3426155,100.3178232,24.15832281,207.6466949,75.45396861,132.1927263,49.31499796,13.62713642,71.57523063,10.70447016,60.87076047,10.46375921,3.163718821,0.082548148,3.942299568,5.890546192,15.96236453,6.521347139,0.896782626,0.063883441,0.002525205,76.55309706,312.855846
N-01-01-02 (13).wav,1,male,happy,-450.44348,132.19789,-5.9049206,4.3334136,1.6164386,5.697368,-8.8172455,-23.461435,1.3972108,-10.835548,-18.743937,-1.0908103,-6.0430307,0.004948536,-17.63668216,24.01104738,52.26912012,-87.70146821,139.9705883,-12.0233111,686.6098663,433.6305537,1603.839127,489.870054,2682.382302,393.5421366,178.8291853,45.46694504,276.5396654,77.75754145,198.7821239,54.62524724,18.00296235,75.39853631,9.116413359,66.28212296,11.58790439,5.677278912,0.08675861,0.226441035,0.205308531,22.82074777,9.049249686,0.82073814,0.258660528,0.010794441,67.03980944,2042.760561
N-01-01-02 (14).wav,1,male,happy,-476.1615,102.29876,-0.5078272,3.0508673,-2.2662883,-0.89843184,-8.750981,-22.0837,-6.218596,-9.965605,-15.472571,-4.1550083,-6.3954268,0.005240122,-23.54669189,24.33970328,44.41846534,-96.01742833,140.4358937,-10.97987352,611.5126469,306.5877625,1605.83739,433.7393123,2678.099315,407.2391383,210.4855978,43.40752496,316.5045094,104.3574691,212.1470403,49.89008368,19.32902831,77.78856801,11.93339535,65.85517266,14.33814023,6.151111111,0.088960237,-0.841212965,-0.926052354,37.9915529,9.109868303,1.01493461,0.060209528,0.002652007,51.82078265,1753.139853
N-01-01-02 (15).wav,1,male,happy,-377.65967,147.23361,-31.764723,3.8477283,-5.1696324,3.2269545,-12.082513,-34.023563,-3.7587903,-20.850683,-21.527845,1.9469845,-3.6688776,0.010420541,-17.03431601,27.90583557,49.20264613,-88.74986709,137.9525132,-6.284844128,655.8936419,373.5298122,1650.568245,469.2171409,2713.360005,334.2535999,165.643429,58.88856804,299.2910347,65.90004552,233.3909892,62.55008198,12.22331172,78.20953776,16.95072577,61.25881199,7.685593755,2.182675737,0.057495763,0.554776758,0.215067052,29.64998705,22.45336734,3.311807465,0.496957485,0.017080684,44.07079998,1447.2985
N-01-01-02 (16).wav,1,male,happy,-497.23767,186.6243,20.518995,3.6262982,25.116903,20.539055,-7.8302503,-13.880993,4.4464784,-27.413286,-24.85302,1.382095,2.7046578,0.002243936,-28.06255762,20.93950137,44.77526168,-98.47347697,143.2487386,-14.97966903,488.1839715,236.9400434,1502.600665,389.4381306,2643.416286,264.3590258,99.46845623,22.50382644,157.99619,66.72099967,91.27519034,56.2767291,11.06137249,67.64977535,14.1681476,53.48162774,12.96766232,3.146281179,0.040556172,1.182164321,-0.266337116,9.015167903,3.063224154,0.460649723,0.013703861,0.001248785,87.44600557,479.923567
N-01-01-02 (17).wav,1,male,happy,-510.03537,146.03766,0.63752353,23.912266,17.016048,19.178232,1.5461859,-18.006071,9.519386,-16.869999,-7.594417,4.1502657,-4.7660646,0.00234139,-25.4836016,21.91099248,46.37224061,-100.6017558,146.9739964,-12.54643234,614.3233274,413.4737554,1654.765658,413.3529433,2792.945651,327.6248832,121.9553967,22.01102963,150.7178753,75.12733592,75.59053942,49.29673097,15.59703286,67.8586906,17.33642554,50.52226506,3.305979264,3.239183673,0.063016183,12.42171995,7.374837024,4.350357278,3.703417435,0.76116259,0.102514803,0.008528954,91.07401894,365.1067561
N-01-01-02 (18).wav,1,male,happy,-426.8428,146.74269,-0.5336355,11.548882,2.4251285,4.0491524,-12.667961,-17.436562,0.5585068,-24.097256,-11.78038,6.285827,-11.008308,0.003028989,-21.0722861,24.43037046,52.44060918,-101.1563599,153.5969691,-12.94276577,637.2779044,398.5553418,1590.199966,448.3281234,2717.1215,362.092716,116.9023621,16.2759541,147.450604,75.56053647,71.89006751,56.98683906,13.21352833,75.37087696,11.94197048,63.42890648,11.94660763,4.551111111,0.063618201,-0.660299146,-1.431430912,18.28916685,2.856247218,0.521622688,0.115739497,0.008066818,78.20915693,1498.930925
N-01-01-02 (19).wav,1,male,happy,-477.1394,136.27821,-34.29714,5.720278,5.0377955,7.898745,-8.436851,-24.204248,4.3119726,-25.577957,-26.92145,-2.4500582,-8.269561,0.010186593,-23.6772871,23.74026727,40.00380085,-92.07985897,132.0836598,-1.639683497,666.4636407,322.5453696,1768.948727,376.6183209,2813.769857,235.8737052,155.8233101,33.9931787,277.1329628,75.0236773,202.1092855,50.76233467,15.7789839,71.10376158,9.152996776,61.9507648,6.555969008,1.645714286,0.147344025,-0.143436271,3.69794471,21.63164702,22.16179866,4.765704028,0.207077192,0.008473932,51.22529916,189.8817232
N-01-01-02 (2).wav,1,male,happy,-443.7321,144.24397,-34.897797,-23.351526,-18.328445,5.468065,-16.380728,-42.440647,0.3515296,-12.784351,-21.44017,8.805285,4.039962,0.0081894,-20.30671965,25.43522276,47.79312147,-95.64628337,143.4394048,-6.060465542,707.3563898,289.4194325,1708.426176,286.8487853,2624.494589,266.1674151,201.6205855,43.90851653,256.0204074,81.06833436,174.9520731,57.43827623,16.76808495,73.54175498,13.80239995,59.73935503,12.82206596,2.449705215,0.080522645,-2.188874428,-1.18214088,28.52402833,18.33056972,2.502821339,0.121806535,0.00665357,50.5141205,974.2964839
N-01-01-02 (20).wav,1,male,happy,-328.81757,168.60075,-58.19887,-26.309256,-17.822538,-7.56519,-19.994854,-31.224108,-0.3569325,-26.887068,-23.785278,13.01858,3.120477,0.008650382,-18.41992512,27.59492053,50.09767575,-83.92771235,134.0253881,-5.287772078,713.1348257,257.7915852,1596.943513,247.2593648,2740.94372,246.4054606,212.978688,59.78162796,299.2514338,96.05811406,203.1933198,67.57467523,6.94856153,77.83621393,49.33818184,28.49803209,7.144309653,1.102947846,0.046895345,1.626518093,2.301776986,46.08953327,17.85038826,2.653006191,0.104521029,0.00445805,33.2980932,1005.671498
